text_id,text,tox,tox_rate,response,tox_type,phrases,phrase_types,lex,lex_counts,Pos
21,"Месье, не отвлекайтесь. Тупость свою вы показали когда этот пост написали , далее мы разбираем именно её, а не что-нибудь другое.","Месье, не отвлекайтесь. Тупость свою вы показали когда этот пост написали , далее мы разбираем именно её, а не что-нибудь другое.",5,author,general_insult,Тупость свою вы показали когда этот пост написали,direct,тупость,1,S
22,поросёна. ты заебала хуйню гнать) ты недоебана что-ли?,поросёна. ты заебала хуйню гнать) ты недоебана что-ли?,10,author,harassment,ты заебала хуйню гнать),direct,заебала,2,V
22,поросёна. ты заебала хуйню гнать) ты недоебана что-ли?,поросёна. ты заебала хуйню гнать) ты недоебана что-ли?,10,author,harassment,ты заебала хуйню гнать),direct,хуйню,2,S
22,поросёна. ты заебала хуйню гнать) ты недоебана что-ли?,поросёна. ты заебала хуйню гнать) ты недоебана что-ли?,10,author,harassment,ты недоебана что-ли?,direct,недоебана,1,A
23,иди ка ты в сраку,иди ка ты в сраку,6,person,profanity,иди ка ты в сраку,direct,сраку,1,S
24,"Ты давно не была ебаной , вот и бесишься.","Ты давно не была ебаной , вот и бесишься.",8,author,harassment,"Ты давно не была ебаной , вот и бесишься.",direct,ебаной,1,A
25,"хамство - признак низкого интеллекта, дурик ))) иди почитай книги, авось ума наберешься","хамство - признак низкого интеллекта, дурик ))) иди почитай книги, авось ума наберешься",5,person,general_insult,"хамство - признак низкого интеллекта, дурик ))) иди почитай книги, авось ума наберешься",direct,дурик,1,S
26,Мощно инцел бомбит 😂,Мощно инцел бомбит 😂,5,author,hate_speech: gender,Мощно инцел бомбит 😂,direct,инцел,1,S
27,"вывод: автор хоть и мудак , а \""бабы\"" все еще не бросаются ему в ноги.","вывод: автор хоть и мудак , а \""бабы\"" все еще не бросаются ему в ноги.",7,author,general_insult,"вывод: автор хоть и мудак , а \""бабы\"" все еще не бросаются ему в ноги.",direct,мудак,1,S
28,Фантазер ёпта,Фантазер ёпта,8,author,profanity,Фантазер ёпта,direct,ёпта,1,S
29,Бедный парень. Годы жизни кладёт на благо какой-то пизды .,Бедный парень. Годы жизни кладёт на благо какой-то пизды .,9,post: animate,hate_speech: gender,Годы жизни кладёт на благо какой-то пизды .,direct,пизды,1,S
31,"Тс такой злой из-за того, что у него писька вялая походу)","Тс такой злой из-за того, что у него писька вялая походу)",7,author,general_insult,"Тс такой злой из-за того, что у него писька вялая походу)",direct,писька,1,S
32,"В вашем тексте столько ошибок, что ебал я врот воспринимать ваше мнение серьёзно.","В вашем тексте столько ошибок, что ебал я врот воспринимать ваше мнение серьёзно.",9,author,general_insult,ебал я врот воспринимать ваше мнение серьёзно.,direct,ебал,1,V
33,Какая же блевотина,Какая же блевотина,7,post: inanimate,profanity,Какая же блевотина,direct,блевотина,1,S
34,Что за хуйню я только что прочитал?,Что за хуйню я только что прочитал?,8,post: inanimate,profanity,Что за хуйню я только что прочитал?,direct,хуйню,1,S
35,Какой-то сумбурный высер обиженного,Какой-то сумбурный высер обиженного,7,author,general_insult,Какой-то сумбурный высер обиженного,direct,высер,2,S
35,Какой-то сумбурный высер обиженного,Какой-то сумбурный высер обиженного,7,author,general_insult,Какой-то сумбурный высер обиженного,direct,обиженного,2,A
36,"Еще один профессиональный алень пытается научить ""мастерству"".","Еще один профессиональный алень пытается научить ""мастерству"".",6,author,general_insult,"Еще один профессиональный алень пытается научить ""мастерству"".",indirect,алень,1,S
37,"Тс ты хоть читай, что ты пишешь, высер пиздец просто","Тс ты хоть читай, что ты пишешь, высер пиздец просто",9,author,general_insult,"Тс ты хоть читай, что ты пишешь, высер пиздец просто",direct,высер,2,S
37,"Тс ты хоть читай, что ты пишешь, высер пиздец просто","Тс ты хоть читай, что ты пишешь, высер пиздец просто",9,author,general_insult,"Тс ты хоть читай, что ты пишешь, высер пиздец просто",direct,пиздец,2,S
38,Кто выпустил рсп из будки?,Кто выпустил рсп из будки?,7,author,general_insult,Кто выпустил рсп из будки?,indirect,рсп,1,
39,"Если лицом в сиськи закопаться, то рожи будет не видно","Если лицом в сиськи закопаться, то рожи будет не видно",8,post: animate,general_insult,"Если лицом в сиськи закопаться, то рожи будет не видно",direct,сиськи,2,S
39,"Если лицом в сиськи закопаться, то рожи будет не видно","Если лицом в сиськи закопаться, то рожи будет не видно",8,post: animate,general_insult,"Если лицом в сиськи закопаться, то рожи будет не видно",direct,рожи,2,S
40,"Ты, видно, добряк. Хоть и страшный","Ты, видно, добряк. Хоть и страшный",6,author,general_insult,"Ты, видно, добряк. Хоть и страшный",indirect,страшный,1,A
41,"Ну раз устраивают бомжихи и маргиналки , то что сказать.... Совет да любофффь","Ну раз устраивают бомжихи и маргиналки , то что сказать.... Совет да любофффь",6,post: animate,general_insult,"Ну раз устраивают бомжихи и маргиналки , то что сказать.... Совет да любофффь",direct,бомжихи,2,S
41,"Ну раз устраивают бомжихи и маргиналки , то что сказать.... Совет да любофффь","Ну раз устраивают бомжихи и маргиналки , то что сказать.... Совет да любофффь",6,post: animate,general_insult,"Ну раз устраивают бомжихи и маргиналки , то что сказать.... Совет да любофффь",direct,маргиналки,2,S
42,Баянный баян,Баянный баян,2,post: inanimate,general_insult,Баянный баян,indirect,баянный,2,A
42,Баянный баян,Баянный баян,2,post: inanimate,general_insult,Баянный баян,indirect,баян,2,S
43,Тролль отказывается кормить троллей . Понятненько.,Тролль отказывается кормить троллей . Понятненько.,3,author,general_insult,Тролль отказывается кормить троллей .,indirect,тролль,2,S
43,Тролль отказывается кормить троллей . Понятненько.,Тролль отказывается кормить троллей . Понятненько.,3,author,general_insult,Тролль отказывается кормить троллей .,indirect,троллей,2,S
44,Это просто какой-то жир ебаный,Это просто какой-то жир ебаный,6,post: inanimate,general_insult,Это просто какой-то жир ебаный,indirect,ебаный,1,A
45,"Жалко у пчелки в попке (͡°͜ʖ͡°), в жалости мужчина не нуждается.","Жалко у пчелки в попке (͡°͜ʖ͡°), в жалости мужчина не нуждается.",4,post: animate,hate_speech: gender,"Жалко у пчелки в попке (͡°͜ʖ͡°), в жалости мужчина не нуждается.",indirect,попке,1,S
46,"типичная пик ми , с синдромом спасательницы (либо вообще мужик пишет). Жалко мужиков , видите ли. Им вас уж точно не жалко. Полетите в мусорку, как только срок годности закончится. И даже \""хорошесть\"" не поможет, ну, разве что алкашей привлечь, мамкиных корзин и прочих инфантилов .","типичная пик ми , с синдромом спасательницы (либо вообще мужик пишет). Жалко мужиков , видите ли. Им вас уж точно не жалко. Полетите в мусорку, как только срок годности закончится. И даже \""хорошесть\"" не поможет, ну, разве что алкашей привлечь, мамкиных корзин и прочих инфантилов .",8,author,hate_speech: gender,"типичная пик ми , с синдромом спасательницы (либо вообще мужик пишет).",direct,пик ми,1,S
46,"типичная пик ми , с синдромом спасательницы (либо вообще мужик пишет). Жалко мужиков , видите ли. Им вас уж точно не жалко. Полетите в мусорку, как только срок годности закончится. И даже \""хорошесть\"" не поможет, ну, разве что алкашей привлечь, мамкиных корзин и прочих инфантилов .","типичная пик ми , с синдромом спасательницы (либо вообще мужик пишет). Жалко мужиков , видите ли. Им вас уж точно не жалко. Полетите в мусорку, как только срок годности закончится. И даже \""хорошесть\"" не поможет, ну, разве что алкашей привлечь, мамкиных корзин и прочих инфантилов .",8,author,hate_speech: gender,мамкиных корзин,indirect,мамкиных,1,A
47,"Ой мля , очередной пост от пикми .","Ой мля , очередной пост от пикми .",7,author,general_insult,"Ой мля , очередной пост от пикми .",direct,мля,2,S
47,"Ой мля , очередной пост от пикми .","Ой мля , очередной пост от пикми .",7,author,general_insult,"Ой мля , очередной пост от пикми .",direct,пикми,2,S
48,"Та женщина товар , у нее есть ценник, ее нужно покупать , кто заплатит больше - тот ее танцует - такие непригодны для долгосрочных отношений, т.к она всегда в поиске полового партнера, богаче, моложе, статуснее - такие пригодны для разовых отношений - как каршеринг.","Та женщина товар , у нее есть ценник, ее нужно покупать , кто заплатит больше - тот ее танцует - такие непригодны для долгосрочных отношений, т.к она всегда в поиске полового партнера, богаче, моложе, статуснее - такие пригодны для разовых отношений - как каршеринг.",6,post: animate,general_insult,"Та женщина товар , у нее есть ценник, ее нужно покупать",indirect,товар,1,S
50,"Ради чего нужно вешать себе эту швабру на шею, за такие деньги? Проститутки выходят куда дешевле. Их не нужно содержать, можешь делать с нею что воображение пожелает. Платишь только за то, что покупаешь. И главное - менять можно как перчатки 🤣🤣🤣.","Ради чего нужно вешать себе эту швабру на шею, за такие деньги? Проститутки выходят куда дешевле. Их не нужно содержать, можешь делать с нею что воображение пожелает. Платишь только за то, что покупаешь. И главное - менять можно как перчатки 🤣🤣🤣.",6,post: animate,hate_speech: gender,"Ради чего нужно вешать себе эту швабру на шею, за такие деньги?",indirect,швабру,1,S
51,"А что они могут предложить за 300к, кроме своей пизды ?","А что они могут предложить за 300к, кроме своей пизды ?",7,post: animate,hate_speech: gender,"А что они могут предложить за 300к, кроме своей пизды ?",direct,пизды,1,S
52,Вагинокапитализм оказывется реальностью.,Вагинокапитализм оказывется реальностью.,5,post: animate,hate_speech: gender,Вагинокапитализм оказывется реальностью.,direct,вагинокапитализм,1,S
53,Найти и повесить за яйца.,Найти и повесить за яйца.,7,post: animate,threat,Найти и повесить за яйца.,direct,повесить,1,V
54,"Логичный вопрос, если она обладает всеми этими качествами, нахуй ей ты?","Логичный вопрос, если она обладает всеми этими качествами, нахуй ей ты?",7,author,general_insult,нахуй ей ты?,direct,нахуй,1,ADV
55,Идиотский комментарий подошедший бы людям лет 100 назад минимум.,Идиотский комментарий подошедший бы людям лет 100 назад минимум.,2,person,general_insult,Идиотский комментарий подошедший бы людям лет 100 назад минимум.,direct,идиотский,1,A
56,Мастурбек наверно какой- нибудь,Мастурбек наверно какой- нибудь,7,person,hate_speech: nationality,Мастурбек наверно какой- нибудь,direct,мастурбек,1,S
57,"Дед прими таблетки , а то по жопе получишь)","Дед прими таблетки , а то по жопе получишь)",5,author,threat,Дед прими таблетки,indirect,дед,1,S
57,"Дед прими таблетки , а то по жопе получишь)","Дед прими таблетки , а то по жопе получишь)",5,author,threat,а то по жопе получишь),direct,жопе,1,S
58,Любящие хорошо сос@@ть,Любящие хорошо сос@@ть,3,post: animate,harassment,Любящие хорошо сос@@ть,direct,сос@@ть,1,S
59,"разбежался с женой. вроде все при ней; 4 размер, жопка , внешность . Но ССССУКА невозможная . Хожу, потряхиваю. Но жить с ней упаси…","разбежался с женой. вроде все при ней; 4 размер, жопка , внешность . Но ССССУКА невозможная . Хожу, потряхиваю. Но жить с ней упаси…",8,post: animate,general_insult,"вроде все при ней; 4 размер, жопка , внешность",direct,жопка,1,S
59,"разбежался с женой. вроде все при ней; 4 размер, жопка , внешность . Но ССССУКА невозможная . Хожу, потряхиваю. Но жить с ней упаси…","разбежался с женой. вроде все при ней; 4 размер, жопка , внешность . Но ССССУКА невозможная . Хожу, потряхиваю. Но жить с ней упаси…",8,post: animate,general_insult,Но ССССУКА невозможная,direct,ссссука,1,S
60,И ещё чтобы глотала,И ещё чтобы глотала,3,post: animate,harassment,И ещё чтобы глотала,direct,глотала,1,V
61,"Три раза перечитал, прежде чем уловил суть. Охуеть ошибок в тексте . Мадам, больше не пишите, токсины от той свеклы повлияли на синтаксическую область мозга))","Три раза перечитал, прежде чем уловил суть. Охуеть ошибок в тексте . Мадам, больше не пишите, токсины от той свеклы повлияли на синтаксическую область мозга))",7,author,general_insult,Охуеть ошибок в тексте,direct,охуеть,1,V
62,"Если женщина не настолько дура , чтобы не забыть про секс или им не манипулировать, то можно ей подыграть.","Если женщина не настолько дура , чтобы не забыть про секс или им не манипулировать, то можно ей подыграть.",3,post: animate,hate_speech: gender,Если женщина не настолько дура,direct,дура,1,S
63,"Ебать , это что, новый раунд половых войн?","Ебать , это что, новый раунд половых войн?",6,post: inanimate,profanity,"Ебать , это что, новый раунд половых войн?",direct,ебать,1,V
65,"Опять эти влажные надежды РСП что они кому-то нужны , и принц за ними обязательно приедет))))","Опять эти влажные надежды РСП что они кому-то нужны , и принц за ними обязательно приедет))))",5,person,general_insult,Опять эти влажные надежды РСП что они кому-то нужны,direct,рсп,1,
66,"опять эти надежды инцелов и одиноких скуфов , что если у женщины появился ребенок, то она станет всеядной и ""снизит планку"" до вас.","опять эти надежды инцелов и одиноких скуфов , что если у женщины появился ребенок, то она станет всеядной и ""снизит планку"" до вас.",5,person,hate_speech: gender,опять эти надежды инцелов и одиноких скуфов,direct,инцелов,2,S
66,"опять эти надежды инцелов и одиноких скуфов , что если у женщины появился ребенок, то она станет всеядной и ""снизит планку"" до вас.","опять эти надежды инцелов и одиноких скуфов , что если у женщины появился ребенок, то она станет всеядной и ""снизит планку"" до вас.",5,person,hate_speech: gender,опять эти надежды инцелов и одиноких скуфов,direct,скуфов,2,S
67,"Мне кажется у ТСа голова закружилась, от того как вы её на х*ю крутанули :-)","Мне кажется у ТСа голова закружилась, от того как вы её на х*ю крутанули :-)",7,author,general_insult,на х*ю крутанули,indirect,х*ю,1,S
68,"Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?","Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?",8,author,general_insult,Ебать ты обиженный,direct,ебать,2,V
68,"Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?","Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?",8,author,general_insult,Ебать ты обиженный,direct,обиженный,2,A
68,"Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?","Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?",8,author,general_insult,"Ты на свой мрот на бухло не добираешь, что тебя так штырит ?",direct,бухло,2,V
68,"Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?","Ебать ты обиженный . Ты на свой мрот на бухло не добираешь, что тебя так штырит ?",8,author,general_insult,"Ты на свой мрот на бухло не добираешь, что тебя так штырит ?",direct,штырит,2,V
69,20 летняя нимфа может к 40 отыквиться и превратиться в корову и потом вселенские законы сыграют с ней злую шутку: могут выпиздить на мороз или к Aшотику .,20 летняя нимфа может к 40 отыквиться и превратиться в корову,6,post: animate,hate_speech: gender,20 летняя нимфа может к 40 отыквиться и превратиться в корову,indirect,отыквиться,1,V
70,20 летняя нимфа может к 40 отыквиться и превратиться в корову и потом вселенские законы сыграют с ней злую шутку: могут выпиздить на мороз или к Aшотику .,потом вселенские законы сыграют с ней злую шутку: могут выпиздить на мороз или к Aшотику .,7,post: animate,hate_speech: nationality,могут выпиздить на мороз или к Aшотику .,indirect,выпиздить,2,V
70,20 летняя нимфа может к 40 отыквиться и превратиться в корову и потом вселенские законы сыграют с ней злую шутку: могут выпиздить на мороз или к Aшотику .,потом вселенские законы сыграют с ней злую шутку: могут выпиздить на мороз или к Aшотику .,7,post: animate,hate_speech: nationality,могут выпиздить на мороз или к Aшотику .,indirect,aшотику,2,S
71,мамаше вашей врезать надо левой пяткой в правую ноздрю,мамаше вашей врезать надо левой пяткой в правую ноздрю,7,author,threat,мамаше вашей врезать надо левой пяткой в правую ноздрю,direct,мамаше,2,S
71,мамаше вашей врезать надо левой пяткой в правую ноздрю,мамаше вашей врезать надо левой пяткой в правую ноздрю,7,author,threat,мамаше вашей врезать надо левой пяткой в правую ноздрю,direct,врезать,2,V
72,Притом что все ей написанное полный пиздешь,Притом что все ей написанное полный пиздешь,5,person,general_insult,полный пиздешь,direct,пиздешь,1,S
73,"Обычная бабская мысль, если дам то проститутка","Обычная бабская мысль, если дам то проститутка",4,post: animate,hate_speech: gender,"Обычная бабская мысль, если дам то проститутка",direct,бабская,1,A
